University,Score,Country,League
Harvard University,100.000,USA,Diamond League
California Institute of Technology (Caltech),99.636,USA,Diamond League
Stanford University,97.050,USA,Diamond League
Imperial College London,96.742,UK,Diamond League
Karolinska Institute,96.609,Sweden,Diamond League
Massachusetts Institute of Technology (MIT),96.370,USA,Diamond League
University of Oxford,96.167,UK,Diamond League
ETH Zurich (Swiss Federal Institute of Technology),94.629,Switzerland,Diamond League
University of Cambridge,94.383,UK,Diamond League
Columbia University,94.132,USA,Diamond League
University College London,93.911,UK,Diamond League
Yale University,93.797,USA,Diamond League
University of Pennsylvania,93.741,USA,Diamond League
Johns Hopkins University,93.617,USA,Diamond League
Northwestern University,93.558,USA,Diamond League
Princeton University,93.517,USA,Diamond League
Ecole Polytechnique Federale de Lausanne,92.159,Switzerland,Diamond League
Case Western Reserve University,91.555,USA,Diamond League
Cornell University,91.528,USA,Diamond League
Washington University in St. Louis,90.996,USA,Diamond League
Peking University,90.954,China,Diamond League
Korea Advanced Institute of Science and Technology (KAIST),90.813,Republic of Korea,Diamond League
Scuola Normale Superiore di Pisa,89.546,Italy,Diamond League
Carnegie Mellon University,89.279,USA,Diamond League
University of Michigan,88.822,USA,Diamond League
University of Edinburgh,88.284,UK,Diamond League
Tsinghua University,87.746,China,Diamond League
King`s College London,87.742,UK,Diamond League
Brown University,87.703,USA,Diamond League
Emory University,87.635,USA,Diamond League
Boston University,87.590,USA,Diamond League
Technical University of Denmark,87.419,Denmark,Diamond League
"University of California, Los Angeles",87.212,USA,Diamond League
Nanyang Technological University,87.004,Singapore,Diamond League
Pohang University of Science and Technology (POSTECH),86.997,Republic of Korea,Diamond League
New York University,86.727,USA,Diamond League
McGill University,86.651,Canada,Diamond League
Rice University,86.466,USA,Diamond League
Tufts University,86.466,USA,Diamond League
Royal Institute of Technology (KTH),86.196,Sweden,Diamond League
University of Tokyo,86.051,Japan,Diamond League
University of Bern,85.992,Switzerland,Diamond League
Sorbonne University,85.896,France,Diamond League
University of Wisconsin - Madison,85.887,USA,Diamond League
University of Geneva,85.726,Switzerland,Diamond League
University of Hong Kong,85.692,Hong Kong,Diamond League
University of Pittsburgh,85.550,USA,Diamond League
University of Science and Technology of China,85.514,China,Diamond League
Chalmers University of Technology,85.261,Sweden,Diamond League
Kyoto University,85.222,Japan,Diamond League
Australian National University,85.066,Australia,Diamond League
University of Washington,84.923,USA,Diamond League
University of Zurich,84.764,Switzerland,Diamond League
University of Lausanne,84.706,Switzerland,Diamond League
Ludwig Maximilian University of Munich,84.692,Germany,Diamond League
University of Manchester,84.621,UK,Diamond League
Vanderbilt University,84.555,USA,Diamond League
"University of California, Berkeley",84.515,USA,Diamond League
Fudan University,84.455,China,Diamond League
Chinese University of Hong Kong,84.299,Hong Kong,Diamond League
Indian Institute of Science,84.104,India,Diamond League
"University of California, San Diego",84.089,USA,Diamond League
University of Toronto,84.080,Canada,Diamond League
Wageningen University & Research Center,83.936,Netherlands,Diamond League
University of Southern California,83.816,USA,Diamond League
Ruprecht Karl University of Heidelberg,83.724,Germany,Diamond League
Technische Universitat Dresden (TU Dresden),83.467,Germany,Diamond League
University of North Carolina at Chapel Hill,83.412,USA,Diamond League
Zhejiang University,83.386,China,Diamond League
Shanghai Jiao Tong University,83.203,China,Diamond League
University of Sydney,82.855,Australia,Diamond League
Georgia Institute of Technology,82.816,USA,Diamond League
"University of Minnesota, Twin Cities",82.691,USA,Diamond League
National University of Singapore,82.430,Singapore,Diamond League
Utrecht University,82.410,Netherlands,Diamond League
Tohoku University,82.305,Japan,Diamond League
Lund University,82.226,Sweden,Diamond League
University of Twente,81.954,Netherlands,Diamond League
